ID;Titulo;Entidad;Tipo;Estados;Solicitante-Solicitante;Categoria;Asignado_a-Tecnico;Asignado_a-Grupo_tecnico;Prioridad;Fecha_de_apertura;Ultima_modificacion;Fecha_de_resolucion;Fecha_de_cierre;Soluciones-Tipo_de_solucion;ActualTime-Campos_adicionales-Promocion;Casos_vinculados_-_Numero_de_casos_hijos;Tiempo_en_resolver;Estadisticas_-_Tiempo_de_resolucion;Duracion_total;Tiempo_para_tomar_excedido;Tiempo_en_aduenarse;Estadisticas_-_Tiempo_de_espera;Descripcion;Urgencia;Impacto;Tiempo_en_resolver_+_Progreso;Ubicacion;SLA_-_SLA_Tiempo_en_resolver;Tiempo_para_resolver_excedido;SLA_-_SLA_Tiempo_en_aduenarse;Tiempo_interno_de_atencion_excedido;Estadisticas_-_Tiempo_de_cierre;Encuesta_de_Satisfaccion_-_Tipo;Encuesta_de_Satisfaccion_-_Fecha_de_creacion;Encuesta_de_Satisfaccion_-_Fecha_de_respuesta;Encuesta_de_Satisfaccion_-_Satisfaccion;Encuesta_de_Satisfaccion_-_Comentarios
81 695;Cambio de forma de pago de Efectivo a Izipay;Lindcorp > Aruma;Incidente;Resuelto;Tienda aru-1;Aplicaciones > IZIPAY > Forma de Pago Izipay > Cambiar forma de pago Cash a Izipay;Marcos Espilco;Nivel 1 - MDA;Media;14/07/2025 21:35;14/07/2025 21:41;14/07/2025 21:41;;;;0;15/07/2025 19:35;5minutos;0 segundos;No;14/07/2025 21:50;0 segundos;"Buenas noches, su apoyo por favor con el cambio de forma de pago de efectivo a izipay de la boleta 
B072-00074399 por el monto de s/46.60, ya que le QR del pos se deshabilitó.

 ";Media;Media;15/07/2025 19:35;;SLA Incidente Solucion Medio;No;SLA Incidente Atencion Medio;No;0 segundos;;;;;
81 693;CAMBIO DE FORMA DE PAGO A IZIPAY;Lindcorp > Aruma;Incidente;Resuelto;Tienda aru-2;Aplicaciones > IZIPAY > Forma de Pago Izipay > Cambiar forma de pago Cash a Izipay;Marcos Espilco;Nivel 1 - MDA;Media;14/07/2025 21:20;14/07/2025 21:41;14/07/2025 21:41;;;;0;15/07/2025 19:20;20minutos;0 segundos;No;14/07/2025 21:35;0 segundos;"Buenas noches

Su apoyo para el cambio medio de pago de la boleta B088-00053429 monto s/23.80 de cash a izipay.

 

Saludos.";Media;Media;15/07/2025 19:20;;SLA Incidente Solucion Medio;No;SLA Incidente Atencion Medio;No;0 segundos;;;;;
81 691;ANULACION DE UNA RECARGA LIMAPAS - AVIACION C-24;Lindcorp > Tambo;Incidente;Resuelto;tienda tamb-1;Aplicaciones > Recaudos > Limapass > No se generó recarga Limapass (Anulación de Recaudo);Marcos Espilco;Nivel 1 - MDA;Media;14/07/2025 21:06;14/07/2025 21:40;14/07/2025 21:40;;;;0;15/07/2025 19:06;34minutos;0 segundos;No;14/07/2025 21:21;0 segundos;"Estimados,

Buenas noches, por favor su apoyo regularizando una recarga de LIMA PASS por el monto de S/. 10.00 lo cual no fue procesada en el sistema el día de hoy 14/07.

Se adjunta imágenes.

 ";Media;Media;15/07/2025 19:06;;SLA Incidente Solucion Medio;No;SLA Incidente Atencion Medio;No;0 segundos;;;;;
81 694;Error al imprimir;Lindcorp > Aruma;Incidente;Resuelto;Tienda aru-3;Soporte Hardware > Impresoras Térmicas > Impresora no imprime;Marcos Espilco;Nivel 1 - MDA;Media;14/07/2025 21:27;14/07/2025 21:37;14/07/2025 21:36;;;;0;15/07/2025 19:27;8minutos;0 segundos;No;14/07/2025 21:42;0 segundos;"Buenas noches, su apoyo con la impresora de la caja 01, ya que a la hora de imprimir la boleta no se imprime.

Saludos,";Media;Media;15/07/2025 19:27;;SLA Incidente Solucion Medio;No;SLA Incidente Atencion Medio;No;0 segundos;;;;;
81 690;CONFIGURACION DE IMPRESORA;Lindcorp > Aruma;Incidente;Resuelto;Tienda aru-3;Soporte Hardware > Impresoras Térmicas > Impresora no imprime;Marcos Espilco;Nivel 1 - MDA;Media;14/07/2025 20:48;14/07/2025 21:36;14/07/2025 21:36;;;;0;15/07/2025 18:48;48minutos;0 segundos;Sí;14/07/2025 21:03;0 segundos;"Buenas noches. 

La impresora de tienda de la caja 1 se desconfiguró, por favor su ayuda pronta. ";Media;Media;15/07/2025 18:48;;SLA Incidente Solucion Medio;No;SLA Incidente Atencion Medio;No;0 segundos;;;;;
81 689;NO SE VISUALIZA QR EN BOLETAS;Lindcorp > Aruma;Incidente;Resuelto;Tienda aru-4;Aplicaciones > POS.NET > Venta > No Genera impresión de QR;Marcos Espilco;Nivel 1 - MDA;Media;14/07/2025 20:37;14/07/2025 21:26;14/07/2025 21:26;;;;0;15/07/2025 18:37;49minutos;0 segundos;No;14/07/2025 20:52;0 segundos;"Buenas noches,

Por favor el apoyo ya que no se están visualizando los Qrs en las boletas.

 

Saludos.

Gianella Traslaviña

 ";Media;Media;15/07/2025 18:37;;SLA Incidente Solucion Medio;No;SLA Incidente Atencion Medio;No;0 segundos;;;;;
81 668;INSTALACIÓN DE APLICATIVO GEO VICTORIA CAJA 01 ''USO DE HUELLERO'';Lindcorp > Tambo;Incidente;Resuelto;tienda tamb-2;Aplicaciones > GeoVictoria > VictoriaID > Instalación de Driver VictoriaID;Marcos Espilco;Nivel 1 - MDA;Media;14/07/2025 18:05;14/07/2025 21:20;14/07/2025 21:20;;;;0;15/07/2025 18:25;55minutos;0 segundos;No;14/07/2025 18:20;2 horas 19 minutos;"BUENAS TARDES 

 

SE SOLICITA SU APOYO CON LA INSTALACIÓN DEL GEOVICTARIA EN CAJA 01 PARA QUE EL PERSONAL PUEDA HACER USO DEL HUELLERO EN LA CAJA Y ASI REALICEN SUS ''MARCAS DE ENTRADA Y SALIDA''

POR MOTIVO QUE HOY SE REALIZÓ EL CAMBIO DE EQUIPO PC Y NO LO HAN INSTALADO EN LA NUEVA PC.";Media;Media;15/07/2025 18:25;;SLA Incidente Solucion Medio;No;SLA Incidente Atencion Medio;No;0 segundos;;;;;
81 692;USUARIO GEO VICTORIA;Lindcorp > Aruma;Incidente;Resuelto;Tienda aru-5;Aplicaciones > GeoVictoria > GeoVictoria Web > No se puede loguear al sistema GeoVictoria;Marcos Espilco;Nivel 1 - MDA;Media;14/07/2025 21:14;14/07/2025 21:19;14/07/2025 21:19;;;;0;15/07/2025 19:14;5minutos;0 segundos;No;14/07/2025 21:29;0 segundos;"Buenas noches 

Por favor su apoyo creando el usuario de RENE CHUMPITAZ con DNI 44732543 para que pueda ingresar al Geo victoria.

 

Saludos.";Media;Media;15/07/2025 19:14;;SLA Incidente Solucion Medio;No;SLA Incidente Atencion Medio;No;0 segundos;;;;;
81 687;Cambio de forma de pago NOTA DE CREDITO;Lindcorp > Aruma;Solicitud;Resuelto;Tienda aru-6;Aplicaciones > RMS > Formas de Pago > Cambiar forma de Pago (distinto a Izipay);Marcos Espilco;Nivel 1 - MDA;Media;14/07/2025 20:04;14/07/2025 21:18;14/07/2025 20:07;;;;0;16/07/2025 16:04;2minutos;0 segundos;No;14/07/2025 20:19;0 segundos;"Buenas noches,

su apoyo cambio la forma de pago de cash a tarjeta la nota de credito: B138-00000054";Media;Media;16/07/2025 16:04;;SLA Requerimiento Solucion Medio;No;SLA Requerimiento Atencion Medio;No;0 segundos;;;;;
81 686;NO APARECE APLICACION DE NUEVO DISASHOP;Lindcorp > Tambo;Incidente;Resuelto;tienda tamb-3;Aplicaciones > Recaudos > Disashop > Errores en aplicación de POS Disashop;Marcos Espilco;Nivel 1 - MDA;Media;14/07/2025 18:56;14/07/2025 21:17;14/07/2025 19:08;;;;0;15/07/2025 16:56;12minutos;0 segundos;No;14/07/2025 19:11;0 segundos;Buenas tardes para informar que no aparece la nueva aplicación de disashop en la PC ya que la tienda realiza las recargas directo en el pos net ya no en la maquina disashop , solo tengo el aplicativo antiguo pero ya no sale ninguna información;Media;Media;15/07/2025 16:56;;SLA Incidente Solucion Medio;No;SLA Incidente Atencion Medio;No;0 segundos;;;;;
